序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
1,"Starting from a wide shot pushing in, a tall and sturdy oak tree with lush foliage. The camera cuts to a close-up in the tree where a squirrel and a chipmunk are busy building a treehouse. The chipmunk holds a blueprint while the squirrel hammers nails intently. 3D cartoon style.",动物,,,动物运动,叙述性描述,"运镜,多镜头",英文,50,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0000.mp4
2,"A thick morning fog shrouds a medieval muddy training ground near a stone castle. Three fully armored knights face off in a triangular formation, lances raised. At a herald's trumpet blast, two charge forward and clash with a forceful collision, mud splashing beneath their boots, one lance splintering on impact. The third knight circles behind and strikes the stumbling loser across the back with a mace, knocking him face-first into the mud. The remaining two engage in close combat — swords drawn, trading blows, each hit sending sparks and denting the metal surface. One disarms the other with a sweeping strike; the disarmed knight grabs a shield from the mud and blocks a downward slash. From the castle wall above, spectators cheer and a lady drops a red favor. The camera tracks low through the mud, capturing the metallic sheen of dented armor, breath misting in cold air, and blood mixing with muddy water. The victor raises his sword overhead, fog swirling around him.",人物,运动体育,打斗场景,,叙述性描述,运镜,英文,164,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0001.mp4
3,"【俯拍・升格】指尖轻触屏幕，京东 APP 图标被点亮，光纹瞬间扩散
【航拍・流光】城市车流如星河，京东配送车穿行其中，尾灯拉出光轨
【逆光・远景】无人机从楼顶升空，划破天际，飞向城市远方
【轨道・纵深】智能仓内，机械臂精准运转，AGV 机器人列队穿梭，包裹如流水前行、【航拍・晨昏】北京 CBD 天际线，晨光洒在京东物流枢纽
【街拍・暖光】上海街头，配送车驶过梧桐树下，光影温柔
【蒙太奇・异域】海外都市：曼谷街巷、伦敦街区、迪拜新城，京东元素自然融入
【特写・柔光】用户签收包裹，指尖触到包装，抬头微笑，眼神明亮治愈
","人物,物体,人造空间",日常行为,画面构图,,分镜脚本,"运镜,多镜头,时间操控",中文,260,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0002.mp4
4,"A telephoto lens compresses depth, capturing the endless stream of commuters on a rush-hour overpass. A suited man in the foreground strides past creating motion blur, while the dense crowd and distant office tower glass walls catching morning light fill the background.",人物,日常行为,画面构图,,专业影视语言,,英文,42,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0003.mp4
5,"Grandma making dumplings in the kitchen, her technique practiced and skilled.",人物,日常行为,,,日常白话,,英文,11,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0004.mp4
6,"Generate a 15-second high-energy summer commercial video. On a hot summer day, the city is baked by the intense sun, heat rises from the ground, and a heatwave distortion effect is visible in the air. Indoors at home or in an office, a person is sweating profusely, dry-mouthed, and says, ""It's way too hot, I need something iced!"" They open their phone and place an order on [JD Miaosong] for cold beer, iced drinks, ice cream, and other items. The phone screen rapidly flashes ""Order Successful"" and ""Nearest warehouse responding instantly."" Fast-paced visual rhythm, bright colors, emphasizing the intense summer heat and strong thirst, driving the audience to want to order cold drinks immediately. Commercial advertising style, exaggerated, exciting, and highly satisfying.",人物,日常行为,文字生成,,叙述性描述,,英文,122,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0005.mp4
7,"A wide-angle, low-angle hyper-realistic shot of astronauts floating weightlessly through the illuminated corridor of a high-tech
spaceship, with the camera slowly tracking their slow-motion movements.",人物,日常行为,,,专业影视语言,"运镜,时间操控",英文,24,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0006.mp4
8,"Wide-angle low-angle hyper-realistic shot. Several astronauts float weightlessly through a glowing high-tech spacecraft corridor. The camera slowly tracks their slow-motion drifting movements. The overall scene carries a futuristic sci-fi atmosphere, fine details, 8K cinematic quality.",人物,日常行为,,,专业影视语言,"运镜,时间操控",英文,35,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0007.mp4
9,"Timelapse photography records a city transitioning from day to night — skyscraper lights turning on one by one, traffic forming continuous light trails. Cut to a mountain summit where timelapse continues capturing the Milky Way slowly rotating until the first dawn light strikes the peak.","自然景观,人造空间",,画面构图,静态/微动,叙述性描述,"多镜头,时间操控",英文,45,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0008.mp4
10,"Inside a dim cavern, translucent water droplets slowly form at the tip of a moist limestone stalactite and fall, splashing into a tiny burst on the stone floor below.",自然景观,,,流体/软体,日常白话,,英文,29,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0009.mp4
